frame_id,atlas_path,x,y,w,h,source_x,source_y,source_w,source_h,trimmed
research_point,atlases/atlas_status_icons.png,1101,468,117,156,1092,468,162,156,True
sponsor,atlases/atlas_status_icons.png,31,624,117,156,0,624,156,156,True
standings,atlases/atlas_status_icons.png,164,624,148,156,156,624,156,156,True
next_match,atlases/atlas_status_icons.png,312,624,156,156,312,624,156,156,True
auto_process,atlases/atlas_status_icons.png,468,624,156,156,468,624,156,156,True
save,atlases/atlas_status_icons.png,624,624,156,156,624,624,156,156,True
load,atlases/atlas_status_icons.png,780,624,156,156,780,624,156,156,True
warning,atlases/atlas_status_icons.png,936,624,147,156,936,624,156,156,True
locked,atlases/atlas_status_icons.png,1101,624,117,156,1092,624,162,156,True
unlocked,atlases/atlas_status_icons.png,31,780,117,156,0,780,156,156,True
reroll,atlases/atlas_status_icons.png,164,780,148,156,156,780,156,156,True
dice_result,atlases/atlas_status_icons.png,312,780,156,156,312,780,156,156,True
success,atlases/atlas_status_icons.png,468,780,156,156,468,780,156,156,True
great_success,atlases/atlas_status_icons.png,624,780,156,156,624,780,156,156,True
failure,atlases/atlas_status_icons.png,780,780,156,156,780,780,156,156,True
critical_failure,atlases/atlas_status_icons.png,936,780,147,156,936,780,156,156,True
ability_up,atlases/atlas_status_icons.png,1101,780,117,156,1092,780,162,156,True
ability_down,atlases/atlas_status_icons.png,31,936,116,148,0,936,156,156,True
batting,atlases/atlas_status_icons.png,164,936,148,148,156,936,156,156,True
running,atlases/atlas_status_icons.png,312,936,156,148,312,936,156,156,True
defense,atlases/atlas_status_icons.png,468,936,156,148,468,936,156,156,True
pitching,atlases/atlas_status_icons.png,624,936,156,148,624,936,156,156,True
catcher,atlases/atlas_status_icons.png,780,936,156,148,780,936,156,156,True
infielder,atlases/atlas_status_icons.png,936,936,147,148,936,936,156,156,True
outfielder,atlases/atlas_status_icons.png,1102,936,116,148,1092,936,162,156,True
ace,atlases/atlas_status_icons.png,31,1107,117,114,0,1092,156,162,True
substitute,atlases/atlas_status_icons.png,164,1107,148,114,156,1092,156,162,True
fatigue_internal,atlases/atlas_status_icons.png,312,1107,156,114,312,1092,156,162,True
parley,atlases/atlas_status_icons.png,468,1107,156,114,468,1092,156,162,True
stay,atlases/atlas_status_icons.png,624,1107,156,114,624,1092,156,162,True
cash_out,atlases/atlas_status_icons.png,780,1107,156,114,780,1092,156,162,True
opponent_raise,atlases/atlas_status_icons.png,936,1107,147,114,936,1092,156,162,True
fan_bet,atlases/atlas_status_icons.png,1102,1107,116,114,1092,1092,162,162,True
icon_next_match,atlases/atlas_ui_icons_base.png,51,44,158,160,0,0,209,209,True
icon_coin,atlases/atlas_ui_icons_base.png,209,44,200,160,209,0,209,209,True
icon_medical_progress,atlases/atlas_ui_icons_base.png,437,44,175,160,418,0,209,209,True
icon_action_point,atlases/atlas_ui_icons_base.png,637,44,199,160,627,0,209,209,True
icon_standings,atlases/atlas_ui_icons_base.png,836,44,209,160,836,0,209,209,True
icon_team,atlases/atlas_ui_icons_base.png,1045,44,146,160,1045,0,209,209,True
icon_medical,atlases/atlas_ui_icons_base.png,51,223,158,195,0,209,209,209,True
icon_club,atlases/atlas_ui_icons_base.png,209,222,200,196,209,209,209,209,True
icon_records,atlases/atlas_ui_icons_base.png,436,223,175,195,418,209,209,209,True
icon_settings,atlases/atlas_ui_icons_base.png,636,223,200,195,627,209,209,209,True
icon_player_detail,atlases/atlas_ui_icons_base.png,836,222,209,196,836,209,209,209,True
icon_role,atlases/atlas_ui_icons_base.png,1045,222,146,196,1045,209,209,209,True
icon_nickname,atlases/atlas_ui_icons_base.png,51,418,158,209,0,418,209,209,True
icon_bet_card,atlases/atlas_ui_icons_base.png,209,418,199,209,209,418,209,209,True
icon_payout,atlases/atlas_ui_icons_base.png,435,418,176,209,418,418,209,209,True
icon_injury,atlases/atlas_ui_icons_base.png,636,418,200,209,627,418,209,209,True
icon_surgery_scalpel,atlases/atlas_ui_icons_base.png,836,418,209,209,836,418,209,209,True
icon_research,atlases/atlas_ui_icons_base.png,1045,418,146,209,1045,418,209,209,True
icon_sponsor,atlases/atlas_ui_icons_base.png,51,627,158,209,0,627,209,209,True
icon_debt,atlases/atlas_ui_icons_base.png,209,627,199,209,209,627,209,209,True
icon_save,atlases/atlas_ui_icons_base.png,435,627,176,209,418,627,209,209,True
icon_load,atlases/atlas_ui_icons_base.png,636,627,200,209,627,627,209,209,True
icon_spirit,atlases/atlas_ui_icons_base.png,836,627,209,209,836,627,209,209,True
icon_tension,atlases/atlas_ui_icons_base.png,1045,627,146,209,1045,627,209,209,True
icon_baseball,atlases/atlas_ui_icons_base.png,51,836,158,209,0,836,209,209,True
icon_bat,atlases/atlas_ui_icons_base.png,209,836,199,209,209,836,209,209,True
icon_glove,atlases/atlas_ui_icons_base.png,435,836,176,209,418,836,209,209,True
icon_syringe,atlases/atlas_ui_icons_base.png,636,836,200,209,627,836,209,209,True
icon_dice,atlases/atlas_ui_icons_base.png,836,836,209,209,836,836,209,209,True
icon_warning,atlases/atlas_ui_icons_base.png,1045,836,146,209,1045,836,209,209,True
icon_auto_bet,atlases/atlas_ui_icons_base.png,51,1045,158,175,0,1045,209,209,True
icon_stay,atlases/atlas_ui_icons_base.png,209,1045,199,175,209,1045,209,209,True
icon_cash_out,atlases/atlas_ui_icons_base.png,435,1045,176,175,418,1045,209,209,True
icon_replay,atlases/atlas_ui_icons_base.png,636,1045,200,175,627,1045,209,209,True
icon_home,atlases/atlas_ui_icons_base.png,836,1045,209,27,836,1045,209,209,True
icon_sound,atlases/atlas_ui_icons_base.png,1045,1045,146,27,1045,1045,209,209,True
cutin_pitch,atlases/atlas_match_cutins.png,20,21,733,235,0,0,768,256,True
cutin_bat_impact,atlases/atlas_match_cutins.png,782,21,733,235,768,0,768,256,True
cutin_steal,atlases/atlas_match_cutins.png,20,256,733,249,0,256,768,256,True
cutin_diving_catch,atlases/atlas_match_cutins.png,782,256,733,250,768,256,768,256,True
cutin_injury_warning,atlases/atlas_match_cutins.png,20,520,732,248,0,512,768,256,True
cutin_bet_accepted,atlases/atlas_match_cutins.png,782,520,733,248,768,512,768,256,True
cutin_bet_failed,atlases/atlas_match_cutins.png,20,768,732,230,0,768,768,256,True
cutin_explosive_state,atlases/atlas_match_cutins.png,782,768,733,230,768,768,768,256,True
event_intro_nine,events/sheet_story_events.png,0,0,768,341,0,0,768,341,False
event_first_treatment,events/sheet_story_events.png,768,0,768,341,768,0,768,341,False
event_betting_decision,events/sheet_story_events.png,0,341,768,341,0,341,768,341,False
event_post_defeat,events/sheet_story_events.png,768,341,768,341,768,341,768,341,False
event_final_boss_pressure,events/sheet_story_events.png,0,682,768,342,0,682,768,342,False
event_doctor_registration,events/sheet_story_events.png,768,682,768,342,768,682,768,342,False
mimi_neutral,atlases/atlas_mimi.png,91,4,222,623,0,0,418,627,True
mimi_embarrassed_pashipashi,atlases/atlas_mimi.png,473,8,363,619,418,0,418,627,True
mimi_match_cut_in,atlases/atlas_mimi.png,836,4,315,623,836,0,418,627,True
mimi_surgery_mask,atlases/atlas_mimi.png,135,627,283,593,0,627,418,627,True
mimi_dice_throw,atlases/atlas_mimi.png,418,627,321,622,418,627,418,627,True
mimi_doctor_clear,atlases/atlas_mimi.png,843,627,321,601,836,627,418,627,True
research_card_01,atlases/atlas_research_cards.png,52,30,157,220,0,0,209,250,True
research_card_02,atlases/atlas_research_cards.png,209,30,209,220,209,0,209,250,True
research_card_03,atlases/atlas_research_cards.png,454,30,157,220,418,0,209,250,True
research_card_04,atlases/atlas_research_cards.png,644,30,157,220,627,0,209,250,True
research_card_05,atlases/atlas_research_cards.png,836,30,209,220,836,0,209,250,True
research_card_06,atlases/atlas_research_cards.png,1045,30,140,220,1045,0,209,250,True
research_card_07,atlases/atlas_research_cards.png,52,250,157,250,0,250,209,250,True
research_card_08,atlases/atlas_research_cards.png,209,250,209,250,209,250,209,250,True
research_card_09,atlases/atlas_research_cards.png,454,250,157,250,418,250,209,250,True
research_card_10,atlases/atlas_research_cards.png,644,250,157,250,627,250,209,250,True
research_card_11,atlases/atlas_research_cards.png,836,250,209,250,836,250,209,250,True
research_card_12,atlases/atlas_research_cards.png,1045,250,140,250,1045,250,209,250,True
research_card_13,atlases/atlas_research_cards.png,52,500,157,250,0,500,209,250,True
research_card_14,atlases/atlas_research_cards.png,209,500,209,250,209,500,209,250,True
research_card_15,atlases/atlas_research_cards.png,454,500,157,250,418,500,209,250,True
research_card_16,atlases/atlas_research_cards.png,644,500,157,250,627,500,209,250,True
research_card_17,atlases/atlas_research_cards.png,836,500,209,250,836,500,209,250,True
research_card_18,atlases/atlas_research_cards.png,1045,500,140,250,1045,500,209,250,True
research_card_19,atlases/atlas_research_cards.png,52,750,157,250,0,750,209,250,True
research_card_20,atlases/atlas_research_cards.png,209,750,209,250,209,750,209,250,True
research_card_21,atlases/atlas_research_cards.png,454,750,156,250,418,750,209,250,True
research_card_22,atlases/atlas_research_cards.png,644,750,157,250,627,750,209,250,True
research_card_23,atlases/atlas_research_cards.png,836,750,209,250,836,750,209,250,True
research_card_24,atlases/atlas_research_cards.png,1045,750,140,250,1045,750,209,250,True
research_card_25,atlases/atlas_research_cards.png,52,1000,157,228,0,1000,209,254,True
research_card_26,atlases/atlas_research_cards.png,209,1000,209,228,209,1000,209,254,True
research_card_27,atlases/atlas_research_cards.png,454,1000,157,228,418,1000,209,254,True
research_card_28,atlases/atlas_research_cards.png,643,1000,157,228,627,1000,209,254,True
research_card_29,atlases/atlas_research_cards.png,836,1000,209,228,836,1000,209,254,True
research_card_30,atlases/atlas_research_cards.png,1045,1000,140,100,1045,1000,209,254,True
mod_part_01,atlases/atlas_mod_parts_expanded.png,30,30,126,220,0,0,156,250,True
mod_part_02,atlases/atlas_mod_parts_expanded.png,170,36,142,214,156,0,156,250,True
mod_part_03,atlases/atlas_mod_parts_expanded.png,312,33,156,217,312,0,156,250,True
mod_part_04,atlases/atlas_mod_parts_expanded.png,468,33,127,217,468,0,156,250,True
mod_part_05,atlases/atlas_mod_parts_expanded.png,628,34,125,216,624,0,156,250,True
mod_part_06,atlases/atlas_mod_parts_expanded.png,792,49,112,153,780,0,156,250,True
mod_part_07,atlases/atlas_mod_parts_expanded.png,939,35,153,181,936,0,156,250,True
mod_part_08,atlases/atlas_mod_parts_expanded.png,1092,27,132,223,1092,0,162,250,True
mod_part_09,atlases/atlas_mod_parts_expanded.png,28,250,102,250,0,250,156,250,True
mod_part_10,atlases/atlas_mod_parts_expanded.png,170,250,142,250,156,250,156,250,True
mod_part_11,atlases/atlas_mod_parts_expanded.png,312,250,156,250,312,250,156,250,True
mod_part_12,atlases/atlas_mod_parts_expanded.png,468,250,156,250,468,250,156,250,True
mod_part_13,atlases/atlas_mod_parts_expanded.png,624,250,156,250,624,250,156,250,True
mod_part_14,atlases/atlas_mod_parts_expanded.png,780,250,156,250,780,250,156,250,True
mod_part_15,atlases/atlas_mod_parts_expanded.png,936,250,156,250,936,250,156,250,True
mod_part_16,atlases/atlas_mod_parts_expanded.png,1092,250,125,250,1092,250,162,250,True
mod_part_17,atlases/atlas_mod_parts_expanded.png,23,500,126,250,0,500,156,250,True
mod_part_18,atlases/atlas_mod_parts_expanded.png,161,500,140,250,156,500,156,250,True
mod_part_19,atlases/atlas_mod_parts_expanded.png,319,500,136,250,312,500,156,250,True
mod_part_20,atlases/atlas_mod_parts_expanded.png,472,500,135,229,468,500,156,250,True
mod_part_21,atlases/atlas_mod_parts_expanded.png,624,500,156,250,624,500,156,250,True
mod_part_22,atlases/atlas_mod_parts_expanded.png,780,500,156,240,780,500,156,250,True
mod_part_23,atlases/atlas_mod_parts_expanded.png,936,500,131,231,936,500,156,250,True
mod_part_24,atlases/atlas_mod_parts_expanded.png,1092,500,118,235,1092,500,162,250,True
mod_part_25,atlases/atlas_mod_parts_expanded.png,19,750,126,250,0,750,156,250,True
mod_part_26,atlases/atlas_mod_parts_expanded.png,180,750,132,250,156,750,156,250,True
mod_part_27,atlases/atlas_mod_parts_expanded.png,312,750,156,250,312,750,156,250,True
mod_part_28,atlases/atlas_mod_parts_expanded.png,468,760,154,240,468,750,156,250,True
mod_part_29,atlases/atlas_mod_parts_expanded.png,638,750,129,250,624,750,156,250,True
mod_part_30,atlases/atlas_mod_parts_expanded.png,790,765,127,235,780,750,156,250,True
mod_part_31,atlases/atlas_mod_parts_expanded.png,937,752,142,248,936,750,156,250,True
mod_part_32,atlases/atlas_mod_parts_expanded.png,1102,756,120,244,1092,750,162,250,True
mod_part_33,atlases/atlas_mod_parts_expanded.png,24,1000,132,235,0,1000,156,254,True
mod_part_34,atlases/atlas_mod_parts_expanded.png,156,1000,156,237,156,1000,156,254,True
mod_part_35,atlases/atlas_mod_parts_expanded.png,312,1000,156,221,312,1000,156,254,True
mod_part_36,atlases/atlas_mod_parts_expanded.png,468,1000,135,234,468,1000,156,254,True
mod_part_37,atlases/atlas_mod_parts_expanded.png,635,1000,145,223,624,1000,156,254,True
mod_part_38,atlases/atlas_mod_parts_expanded.png,780,1000,156,226,780,1000,156,254,True
mod_part_39,atlases/atlas_mod_parts_expanded.png,936,1000,156,233,936,1000,156,254,True
mod_part_40,atlases/atlas_mod_parts_expanded.png,1092,1000,136,228,1092,1000,162,254,True
surgery_ui_01,atlases/atlas_surgery_ui.png,27,43,229,213,0,0,256,256,True
surgery_ui_02,atlases/atlas_surgery_ui.png,256,16,256,240,256,0,256,256,True
surgery_ui_03,atlases/atlas_surgery_ui.png,512,35,256,221,512,0,256,256,True
surgery_ui_04,atlases/atlas_surgery_ui.png,768,34,256,222,768,0,256,256,True
surgery_ui_05,atlases/atlas_surgery_ui.png,1024,34,256,222,1024,0,256,256,True
surgery_ui_06,atlases/atlas_surgery_ui.png,1280,35,223,221,1280,0,256,256,True
surgery_ui_07,atlases/atlas_surgery_ui.png,30,256,226,254,0,256,256,256,True
surgery_ui_08,atlases/atlas_surgery_ui.png,256,256,256,254,256,256,256,256,True
surgery_ui_09,atlases/atlas_surgery_ui.png,512,256,256,254,512,256,256,256,True
surgery_ui_10,atlases/atlas_surgery_ui.png,768,256,256,250,768,256,256,256,True
surgery_ui_11,atlases/atlas_surgery_ui.png,1024,256,256,243,1024,256,256,256,True
surgery_ui_12,atlases/atlas_surgery_ui.png,1280,256,218,249,1280,256,256,256,True
surgery_ui_13,atlases/atlas_surgery_ui.png,23,527,233,233,0,512,256,256,True
surgery_ui_14,atlases/atlas_surgery_ui.png,256,527,256,234,256,512,256,256,True
surgery_ui_15,atlases/atlas_surgery_ui.png,512,527,256,234,512,512,256,256,True
surgery_ui_16,atlases/atlas_surgery_ui.png,768,527,256,234,768,512,256,256,True
surgery_ui_17,atlases/atlas_surgery_ui.png,1024,537,256,216,1024,512,256,256,True
surgery_ui_18,atlases/atlas_surgery_ui.png,1280,537,230,216,1280,512,256,256,True
surgery_ui_19,atlases/atlas_surgery_ui.png,49,785,207,192,0,768,256,256,True
surgery_ui_20,atlases/atlas_surgery_ui.png,256,787,256,181,256,768,256,256,True
surgery_ui_21,atlases/atlas_surgery_ui.png,512,782,256,226,512,768,256,256,True
surgery_ui_22,atlases/atlas_surgery_ui.png,768,778,256,223,768,768,256,256,True
surgery_ui_23,atlases/atlas_surgery_ui.png,1024,778,256,190,1024,768,256,256,True
surgery_ui_24,atlases/atlas_surgery_ui.png,1280,778,206,199,1280,768,256,256,True
panel_01,ui/atlas_result_panels.png,17,24,263,256,0,0,280,280,True
panel_02,ui/atlas_result_panels.png,280,12,280,268,280,0,280,280,True
panel_03,ui/atlas_result_panels.png,560,34,280,246,560,0,280,280,True
panel_04,ui/atlas_result_panels.png,840,41,280,239,840,0,280,280,True
panel_05,ui/atlas_result_panels.png,1120,23,264,257,1120,0,282,280,True
panel_06,ui/atlas_result_panels.png,11,280,269,271,0,280,280,280,True
panel_07,ui/atlas_result_panels.png,280,280,280,273,280,280,280,280,True
panel_08,ui/atlas_result_panels.png,560,280,280,274,560,280,280,280,True
panel_09,ui/atlas_result_panels.png,840,280,280,276,840,280,280,280,True
panel_10,ui/atlas_result_panels.png,1120,280,276,269,1120,280,282,280,True
panel_11,ui/atlas_result_panels.png,5,586,275,240,0,560,280,280,True
panel_12,ui/atlas_result_panels.png,280,560,280,280,280,560,280,280,True
panel_13,ui/atlas_result_panels.png,560,578,280,262,560,560,280,280,True
panel_14,ui/atlas_result_panels.png,840,570,280,270,840,560,280,280,True
panel_15,ui/atlas_result_panels.png,1120,560,268,280,1120,560,282,280,True
panel_16,ui/atlas_result_panels.png,9,908,271,189,0,840,280,282,True
panel_17,ui/atlas_result_panels.png,280,840,280,258,280,840,280,282,True
panel_18,ui/atlas_result_panels.png,560,840,280,256,560,840,280,282,True
panel_19,ui/atlas_result_panels.png,840,840,280,257,840,840,280,282,True
panel_20,ui/atlas_result_panels.png,1120,840,254,257,1120,840,282,282,True
