frame_id,atlas_path,x,y,w,h
logo_imperial_crowns,atlases/atlas_team_logos.png,0,627,313,627
logo_league_ai_coin,atlases/atlas_team_logos.png,313,627,313,627
logo_citizens_medical_support,atlases/atlas_team_logos.png,626,627,313,627
logo_underground_finance,atlases/atlas_team_logos.png,939,627,315,627
sponsor_common_medical,atlases/atlas_sponsor_logos_full.png,0,0,350,374
sponsor_black_orange_heavy,atlases/atlas_sponsor_logos_full.png,350,0,350,374
sponsor_bio_research,atlases/atlas_sponsor_logos_full.png,700,0,350,374
sponsor_gambling_union,atlases/atlas_sponsor_logos_full.png,1050,0,352,374
sponsor_citizens_support,atlases/atlas_sponsor_logos_full.png,0,374,350,374
sponsor_ninth_finance,atlases/atlas_sponsor_logos_full.png,350,374,350,374
sponsor_eastern_nerve,atlases/atlas_sponsor_logos_full.png,700,374,350,374
sponsor_former_players_aid,atlases/atlas_sponsor_logos_full.png,1050,374,352,374
sponsor_imperial_medical,atlases/atlas_sponsor_logos_full.png,0,748,350,374
sponsor_crown_betting,atlases/atlas_sponsor_logos_full.png,350,748,350,374
sponsor_modified_league_lab,atlases/atlas_sponsor_logos_full.png,700,748,350,374
sponsor_forbidden_archive,atlases/atlas_sponsor_logos_full.png,1050,748,352,374
surgery_live_wire_suture,atlases/atlas_surgery_methods.png,0,0,327,400
surgery_nerve_knot_thunder,atlases/atlas_surgery_methods.png,327,0,327,400
surgery_bone_rearrange_99,atlases/atlas_surgery_methods.png,654,0,327,400
surgery_basic_treatment,atlases/atlas_surgery_methods.png,981,0,329,400
surgery_body_part_mod,atlases/atlas_surgery_methods.png,0,400,327,400
surgery_mental_aptitude,atlases/atlas_surgery_methods.png,327,400,327,400
surgery_mechanical_mod,atlases/atlas_surgery_methods.png,654,400,327,400
surgery_biological_mutation,atlases/atlas_surgery_methods.png,981,400,329,400
surgery_hybrid_mod,atlases/atlas_surgery_methods.png,0,800,327,401
surgery_full_body_engine,atlases/atlas_surgery_methods.png,327,800,327,401
surgery_ninth_inning_ghost,atlases/atlas_surgery_methods.png,654,800,327,401
surgery_human_redefinition,atlases/atlas_surgery_methods.png,981,800,329,401
spirit_1,atlases/atlas_status_icons.png,0,0,156,156
spirit_2,atlases/atlas_status_icons.png,156,0,156,156
spirit_3,atlases/atlas_status_icons.png,312,0,156,156
spirit_4,atlases/atlas_status_icons.png,468,0,156,156
spirit_5,atlases/atlas_status_icons.png,624,0,156,156
tension_1,atlases/atlas_status_icons.png,780,0,156,156
tension_2,atlases/atlas_status_icons.png,936,0,156,156
tension_3,atlases/atlas_status_icons.png,1092,0,162,156
tension_4,atlases/atlas_status_icons.png,0,156,156,156
tension_5,atlases/atlas_status_icons.png,156,156,156,156
state_explosive,atlases/atlas_status_icons.png,312,156,156,156
state_hidden_injury,atlases/atlas_status_icons.png,468,156,156,156
injury_light,atlases/atlas_status_icons.png,624,156,156,156
injury_heavy,atlases/atlas_status_icons.png,780,156,156,156
injury_bandage,atlases/atlas_status_icons.png,936,156,156,156
injury_fracture,atlases/atlas_status_icons.png,1092,156,162,156
injury_bruise,atlases/atlas_status_icons.png,0,312,156,156
pain_tolerance,atlases/atlas_status_icons.png,156,312,156,156
surgery_required,atlases/atlas_status_icons.png,312,312,156,156
surgery_complete,atlases/atlas_status_icons.png,468,312,156,156
body_modified,atlases/atlas_status_icons.png,624,312,156,156
part_mechanical,atlases/atlas_status_icons.png,780,312,156,156
mutation_biological,atlases/atlas_status_icons.png,936,312,156,156
mental_inversion,atlases/atlas_status_icons.png,1092,312,162,156
role_complete,atlases/atlas_status_icons.png,0,468,156,156
nickname,atlases/atlas_status_icons.png,156,468,156,156
coin,atlases/atlas_status_icons.png,312,468,156,156
debt,atlases/atlas_status_icons.png,468,468,156,156
payout,atlases/atlas_status_icons.png,624,468,156,156
medical_progress,atlases/atlas_status_icons.png,780,468,156,156
action_point,atlases/atlas_status_icons.png,936,468,156,156
research_point,atlases/atlas_status_icons.png,1092,468,162,156
sponsor,atlases/atlas_status_icons.png,0,624,156,156
standings,atlases/atlas_status_icons.png,156,624,156,156
next_match,atlases/atlas_status_icons.png,312,624,156,156
auto_process,atlases/atlas_status_icons.png,468,624,156,156
save,atlases/atlas_status_icons.png,624,624,156,156
load,atlases/atlas_status_icons.png,780,624,156,156
warning,atlases/atlas_status_icons.png,936,624,156,156
locked,atlases/atlas_status_icons.png,1092,624,162,156
unlocked,atlases/atlas_status_icons.png,0,780,156,156
reroll,atlases/atlas_status_icons.png,156,780,156,156
dice_result,atlases/atlas_status_icons.png,312,780,156,156
success,atlases/atlas_status_icons.png,468,780,156,156
great_success,atlases/atlas_status_icons.png,624,780,156,156
failure,atlases/atlas_status_icons.png,780,780,156,156
critical_failure,atlases/atlas_status_icons.png,936,780,156,156
ability_up,atlases/atlas_status_icons.png,1092,780,162,156
ability_down,atlases/atlas_status_icons.png,0,936,156,156
batting,atlases/atlas_status_icons.png,156,936,156,156
running,atlases/atlas_status_icons.png,312,936,156,156
defense,atlases/atlas_status_icons.png,468,936,156,156
pitching,atlases/atlas_status_icons.png,624,936,156,156
catcher,atlases/atlas_status_icons.png,780,936,156,156
infielder,atlases/atlas_status_icons.png,936,936,156,156
outfielder,atlases/atlas_status_icons.png,1092,936,162,156
ace,atlases/atlas_status_icons.png,0,1092,156,162
substitute,atlases/atlas_status_icons.png,156,1092,156,162
fatigue_internal,atlases/atlas_status_icons.png,312,1092,156,162
parley,atlases/atlas_status_icons.png,468,1092,156,162
stay,atlases/atlas_status_icons.png,624,1092,156,162
cash_out,atlases/atlas_status_icons.png,780,1092,156,162
opponent_raise,atlases/atlas_status_icons.png,936,1092,156,162
fan_bet,atlases/atlas_status_icons.png,1092,1092,162,162
icon_next_match,atlases/atlas_ui_icons_base.png,0,0,209,209
icon_coin,atlases/atlas_ui_icons_base.png,209,0,209,209
icon_medical_progress,atlases/atlas_ui_icons_base.png,418,0,209,209
icon_action_point,atlases/atlas_ui_icons_base.png,627,0,209,209
icon_standings,atlases/atlas_ui_icons_base.png,836,0,209,209
icon_team,atlases/atlas_ui_icons_base.png,1045,0,209,209
icon_medical,atlases/atlas_ui_icons_base.png,0,209,209,209
icon_club,atlases/atlas_ui_icons_base.png,209,209,209,209
icon_records,atlases/atlas_ui_icons_base.png,418,209,209,209
icon_settings,atlases/atlas_ui_icons_base.png,627,209,209,209
icon_player_detail,atlases/atlas_ui_icons_base.png,836,209,209,209
icon_role,atlases/atlas_ui_icons_base.png,1045,209,209,209
icon_nickname,atlases/atlas_ui_icons_base.png,0,418,209,209
icon_bet_card,atlases/atlas_ui_icons_base.png,209,418,209,209
icon_payout,atlases/atlas_ui_icons_base.png,418,418,209,209
icon_injury,atlases/atlas_ui_icons_base.png,627,418,209,209
icon_surgery_scalpel,atlases/atlas_ui_icons_base.png,836,418,209,209
icon_research,atlases/atlas_ui_icons_base.png,1045,418,209,209
icon_sponsor,atlases/atlas_ui_icons_base.png,0,627,209,209
icon_debt,atlases/atlas_ui_icons_base.png,209,627,209,209
icon_save,atlases/atlas_ui_icons_base.png,418,627,209,209
icon_load,atlases/atlas_ui_icons_base.png,627,627,209,209
icon_spirit,atlases/atlas_ui_icons_base.png,836,627,209,209
icon_tension,atlases/atlas_ui_icons_base.png,1045,627,209,209
icon_baseball,atlases/atlas_ui_icons_base.png,0,836,209,209
icon_bat,atlases/atlas_ui_icons_base.png,209,836,209,209
icon_glove,atlases/atlas_ui_icons_base.png,418,836,209,209
icon_syringe,atlases/atlas_ui_icons_base.png,627,836,209,209
icon_dice,atlases/atlas_ui_icons_base.png,836,836,209,209
icon_warning,atlases/atlas_ui_icons_base.png,1045,836,209,209
icon_auto_bet,atlases/atlas_ui_icons_base.png,0,1045,209,209
icon_stay,atlases/atlas_ui_icons_base.png,209,1045,209,209
icon_cash_out,atlases/atlas_ui_icons_base.png,418,1045,209,209
icon_replay,atlases/atlas_ui_icons_base.png,627,1045,209,209
icon_home,atlases/atlas_ui_icons_base.png,836,1045,209,209
icon_sound,atlases/atlas_ui_icons_base.png,1045,1045,209,209
cutin_pitch,atlases/atlas_match_cutins.png,0,0,768,256
cutin_bat_impact,atlases/atlas_match_cutins.png,768,0,768,256
cutin_steal,atlases/atlas_match_cutins.png,0,256,768,256
cutin_diving_catch,atlases/atlas_match_cutins.png,768,256,768,256
cutin_injury_warning,atlases/atlas_match_cutins.png,0,512,768,256
cutin_bet_accepted,atlases/atlas_match_cutins.png,768,512,768,256
cutin_bet_failed,atlases/atlas_match_cutins.png,0,768,768,256
cutin_explosive_state,atlases/atlas_match_cutins.png,768,768,768,256
event_intro_nine,events/sheet_story_events.png,0,0,768,341
event_first_treatment,events/sheet_story_events.png,768,0,768,341
event_betting_decision,events/sheet_story_events.png,0,341,768,341
event_post_defeat,events/sheet_story_events.png,768,341,768,341
event_final_boss_pressure,events/sheet_story_events.png,0,682,768,342
event_doctor_registration,events/sheet_story_events.png,768,682,768,342
mimi_neutral,atlases/atlas_mimi.png,0,0,418,627
mimi_embarrassed_pashipashi,atlases/atlas_mimi.png,418,0,418,627
mimi_match_cut_in,atlases/atlas_mimi.png,836,0,418,627
mimi_surgery_mask,atlases/atlas_mimi.png,0,627,418,627
mimi_dice_throw,atlases/atlas_mimi.png,418,627,418,627
mimi_doctor_clear,atlases/atlas_mimi.png,836,627,418,627
research_card_01,atlases/atlas_research_cards.png,0,0,209,250
research_card_02,atlases/atlas_research_cards.png,209,0,209,250
research_card_03,atlases/atlas_research_cards.png,418,0,209,250
research_card_04,atlases/atlas_research_cards.png,627,0,209,250
research_card_05,atlases/atlas_research_cards.png,836,0,209,250
research_card_06,atlases/atlas_research_cards.png,1045,0,209,250
research_card_07,atlases/atlas_research_cards.png,0,250,209,250
research_card_08,atlases/atlas_research_cards.png,209,250,209,250
research_card_09,atlases/atlas_research_cards.png,418,250,209,250
research_card_10,atlases/atlas_research_cards.png,627,250,209,250
research_card_11,atlases/atlas_research_cards.png,836,250,209,250
research_card_12,atlases/atlas_research_cards.png,1045,250,209,250
research_card_13,atlases/atlas_research_cards.png,0,500,209,250
research_card_14,atlases/atlas_research_cards.png,209,500,209,250
research_card_15,atlases/atlas_research_cards.png,418,500,209,250
research_card_16,atlases/atlas_research_cards.png,627,500,209,250
research_card_17,atlases/atlas_research_cards.png,836,500,209,250
research_card_18,atlases/atlas_research_cards.png,1045,500,209,250
research_card_19,atlases/atlas_research_cards.png,0,750,209,250
research_card_20,atlases/atlas_research_cards.png,209,750,209,250
research_card_21,atlases/atlas_research_cards.png,418,750,209,250
research_card_22,atlases/atlas_research_cards.png,627,750,209,250
research_card_23,atlases/atlas_research_cards.png,836,750,209,250
research_card_24,atlases/atlas_research_cards.png,1045,750,209,250
research_card_25,atlases/atlas_research_cards.png,0,1000,209,254
research_card_26,atlases/atlas_research_cards.png,209,1000,209,254
research_card_27,atlases/atlas_research_cards.png,418,1000,209,254
research_card_28,atlases/atlas_research_cards.png,627,1000,209,254
research_card_29,atlases/atlas_research_cards.png,836,1000,209,254
research_card_30,atlases/atlas_research_cards.png,1045,1000,209,254
mod_part_01,atlases/atlas_mod_parts_expanded.png,0,0,156,250
mod_part_02,atlases/atlas_mod_parts_expanded.png,156,0,156,250
mod_part_03,atlases/atlas_mod_parts_expanded.png,312,0,156,250
mod_part_04,atlases/atlas_mod_parts_expanded.png,468,0,156,250
mod_part_05,atlases/atlas_mod_parts_expanded.png,624,0,156,250
mod_part_06,atlases/atlas_mod_parts_expanded.png,780,0,156,250
mod_part_07,atlases/atlas_mod_parts_expanded.png,936,0,156,250
mod_part_08,atlases/atlas_mod_parts_expanded.png,1092,0,162,250
mod_part_09,atlases/atlas_mod_parts_expanded.png,0,250,156,250
mod_part_10,atlases/atlas_mod_parts_expanded.png,156,250,156,250
mod_part_11,atlases/atlas_mod_parts_expanded.png,312,250,156,250
mod_part_12,atlases/atlas_mod_parts_expanded.png,468,250,156,250
mod_part_13,atlases/atlas_mod_parts_expanded.png,624,250,156,250
mod_part_14,atlases/atlas_mod_parts_expanded.png,780,250,156,250
mod_part_15,atlases/atlas_mod_parts_expanded.png,936,250,156,250
mod_part_16,atlases/atlas_mod_parts_expanded.png,1092,250,162,250
mod_part_17,atlases/atlas_mod_parts_expanded.png,0,500,156,250
mod_part_18,atlases/atlas_mod_parts_expanded.png,156,500,156,250
mod_part_19,atlases/atlas_mod_parts_expanded.png,312,500,156,250
mod_part_20,atlases/atlas_mod_parts_expanded.png,468,500,156,250
mod_part_21,atlases/atlas_mod_parts_expanded.png,624,500,156,250
mod_part_22,atlases/atlas_mod_parts_expanded.png,780,500,156,250
mod_part_23,atlases/atlas_mod_parts_expanded.png,936,500,156,250
mod_part_24,atlases/atlas_mod_parts_expanded.png,1092,500,162,250
mod_part_25,atlases/atlas_mod_parts_expanded.png,0,750,156,250
mod_part_26,atlases/atlas_mod_parts_expanded.png,156,750,156,250
mod_part_27,atlases/atlas_mod_parts_expanded.png,312,750,156,250
mod_part_28,atlases/atlas_mod_parts_expanded.png,468,750,156,250
mod_part_29,atlases/atlas_mod_parts_expanded.png,624,750,156,250
mod_part_30,atlases/atlas_mod_parts_expanded.png,780,750,156,250
mod_part_31,atlases/atlas_mod_parts_expanded.png,936,750,156,250
mod_part_32,atlases/atlas_mod_parts_expanded.png,1092,750,162,250
mod_part_33,atlases/atlas_mod_parts_expanded.png,0,1000,156,254
mod_part_34,atlases/atlas_mod_parts_expanded.png,156,1000,156,254
mod_part_35,atlases/atlas_mod_parts_expanded.png,312,1000,156,254
mod_part_36,atlases/atlas_mod_parts_expanded.png,468,1000,156,254
mod_part_37,atlases/atlas_mod_parts_expanded.png,624,1000,156,254
mod_part_38,atlases/atlas_mod_parts_expanded.png,780,1000,156,254
mod_part_39,atlases/atlas_mod_parts_expanded.png,936,1000,156,254
mod_part_40,atlases/atlas_mod_parts_expanded.png,1092,1000,162,254
surgery_ui_01,atlases/atlas_surgery_ui.png,0,0,256,256
surgery_ui_02,atlases/atlas_surgery_ui.png,256,0,256,256
surgery_ui_03,atlases/atlas_surgery_ui.png,512,0,256,256
surgery_ui_04,atlases/atlas_surgery_ui.png,768,0,256,256
surgery_ui_05,atlases/atlas_surgery_ui.png,1024,0,256,256
surgery_ui_06,atlases/atlas_surgery_ui.png,1280,0,256,256
surgery_ui_07,atlases/atlas_surgery_ui.png,0,256,256,256
surgery_ui_08,atlases/atlas_surgery_ui.png,256,256,256,256
surgery_ui_09,atlases/atlas_surgery_ui.png,512,256,256,256
surgery_ui_10,atlases/atlas_surgery_ui.png,768,256,256,256
surgery_ui_11,atlases/atlas_surgery_ui.png,1024,256,256,256
surgery_ui_12,atlases/atlas_surgery_ui.png,1280,256,256,256
surgery_ui_13,atlases/atlas_surgery_ui.png,0,512,256,256
surgery_ui_14,atlases/atlas_surgery_ui.png,256,512,256,256
surgery_ui_15,atlases/atlas_surgery_ui.png,512,512,256,256
surgery_ui_16,atlases/atlas_surgery_ui.png,768,512,256,256
surgery_ui_17,atlases/atlas_surgery_ui.png,1024,512,256,256
surgery_ui_18,atlases/atlas_surgery_ui.png,1280,512,256,256
surgery_ui_19,atlases/atlas_surgery_ui.png,0,768,256,256
surgery_ui_20,atlases/atlas_surgery_ui.png,256,768,256,256
surgery_ui_21,atlases/atlas_surgery_ui.png,512,768,256,256
surgery_ui_22,atlases/atlas_surgery_ui.png,768,768,256,256
surgery_ui_23,atlases/atlas_surgery_ui.png,1024,768,256,256
surgery_ui_24,atlases/atlas_surgery_ui.png,1280,768,256,256
panel_01,ui/atlas_result_panels.png,0,0,280,280
panel_02,ui/atlas_result_panels.png,280,0,280,280
panel_03,ui/atlas_result_panels.png,560,0,280,280
panel_04,ui/atlas_result_panels.png,840,0,280,280
panel_05,ui/atlas_result_panels.png,1120,0,282,280
panel_06,ui/atlas_result_panels.png,0,280,280,280
panel_07,ui/atlas_result_panels.png,280,280,280,280
panel_08,ui/atlas_result_panels.png,560,280,280,280
panel_09,ui/atlas_result_panels.png,840,280,280,280
panel_10,ui/atlas_result_panels.png,1120,280,282,280
panel_11,ui/atlas_result_panels.png,0,560,280,280
panel_12,ui/atlas_result_panels.png,280,560,280,280
panel_13,ui/atlas_result_panels.png,560,560,280,280
panel_14,ui/atlas_result_panels.png,840,560,280,280
panel_15,ui/atlas_result_panels.png,1120,560,282,280
panel_16,ui/atlas_result_panels.png,0,840,280,282
panel_17,ui/atlas_result_panels.png,280,840,280,282
panel_18,ui/atlas_result_panels.png,560,840,280,282
panel_19,ui/atlas_result_panels.png,840,840,280,282
panel_20,ui/atlas_result_panels.png,1120,840,282,282
